Tema;Enunciado;Num_de_alternativas;Alternativa_1;Alternativa_2;Alternativa_3;Alternativa_4;Resposta_correta;Alternativa_irreverente
Ética em Pesquisa;O que é o TCLE na pesquisa clínica?;4;Termo de Consentimento Livre e Esclarecido;Termo de Conduta Laboratorial Específica;Teste Clínico de Liberação Estendida;Trio de Cantores Líricos Espanhóis;1;4
Conceitos Básicos;O que é um placebo?;3;Substância sem efeito terapêutico utilizada como controle;Medicamento potente usado em casos graves;Grupo de pacientes que recebem o melhor tratamento disponível;-;1;-
Regulamentação;Qual órgão é responsável pela aprovação ética de pesquisas envolvendo seres humanos no Brasil?;4;ANVISA;CONEP/CEP;Ministério da Saúde;Conselho Federal de Mágicos;2;4
Metodologia;O que é um ensaio clínico randomizado?;3;Estudo onde os participantes são aleatoriamente designados para grupos;Estudo onde os médicos escolhem quais pacientes recebem cada tratamento;Estudo onde os participantes escolhem seu próprio tratamento baseado em sorteio com cartas de baralho;-;1;3
Fases de Estudo;Quantas fases principais existem nos estudos clínicos de medicamentos?;4;2 fases;3 fases;4 fases;"42 fases, como no livro ""O Guia do Mochileiro das Galáxias""";3;4
Ética em Pesquisa;Qual o princípio ético que assegura que os benefícios da pesquisa devem ser maiores que os riscos?;3;Autonomia;Beneficência;Justiça;-;2;-
Conceitos Básicos;O que significa a sigla CRF na pesquisa clínica?;4;Classificação de Risco Funcional;Case Report Form (Formulário de Relato de Caso);Comitê de Revisão Federal;Clube de Recreação dos Funcionários;2;4
Ética em Pesquisa;O que é um evento adverso em pesquisa clínica?;3;Ocorrência médica desfavorável durante o estudo;Falha no equipamento de pesquisa;Uma festa surpresa indesejada no laboratório;-;1;3
Metodologia;O que é um estudo duplo-cego?;4;Estudo onde nem participantes nem pesquisadores sabem quem recebe qual tratamento;Estudo onde dois pesquisadores cegos avaliam os resultados;Estudo realizado apenas com participantes com deficiência visual;Estudo realizado em salas completamente escuras;1;4
Regulamentação;O que é a Plataforma Brasil?;3;Sistema para submissão de projetos de pesquisa aos CEPs;Programa do governo para financiamento de pesquisas;Aplicativo de namoro exclusivo para pesquisadores brasileiros;-;1;3
Farmacologia;O que é farmacovigilância?;4;Monitoramento de câmeras de segurança em farmácias;Monitoramento e detecção de efeitos adversos pós-comercialização;Controle do estoque de medicamentos;Vigilantes noturnos que protegem laboratórios farmacêuticos;2;4
Ética em Pesquisa;Quem pode ser considerado população vulnerável em pesquisa?;4;Crianças, gestantes e pessoas com deficiência mental;Médicos e enfermeiros;Pessoas com mais de 30 anos;Super-heróis expostos a radiação;1;4
Conceitos Básicos;O que significa a sigla GCP na pesquisa clínica?;3;Good Clinical Practice (Boas Práticas Clínicas);Grupo de Controle Paralelo;Grande Competição de Pipoca;-;1;3
Metodologia;O que é um desfecho primário em um estudo clínico?;3;A principal variável analisada para determinar eficácia;O momento em que o último paciente sai do estudo;A festa de encerramento após a conclusão da pesquisa;-;1;3
Regulamentação;Qual documento internacional estabelece princípios éticos para pesquisa médica envolvendo seres humanos?;4;Código de Nuremberg;Declaração de Helsinque;Relatório Belmont;Manual do Bruxo Moderno;2;4
Metodologia;O que é a revisão por pares (peer review)?;3;Avaliação crítica de artigos científicos por especialistas;Quando dois participantes do estudo se avaliam mutuamente;Revisão dos dados por parentes dos pesquisadores;-;1;3
Conceitos Básicos;O que é endpoint em pesquisa clínica?;4;O momento final do estudo;Um resultado ou ocorrência pré-especificada que é medido;Quando o financiamento do estudo acaba;O ponto onde todos os pesquisadores desistem por exaustão;2;4
Ética em Pesquisa;Quando a pesquisa envolve seres humanos, o que deve ser priorizado?;3;Os interesses da ciência e da sociedade;O bem-estar do participante da pesquisa;A rapidez na obtenção de resultados;-;2;-
Regulamentação;Qual é o papel da ANVISA na pesquisa clínica?;4;Financiar pesquisas clínicas no Brasil;Regular e fiscalizar medicamentos, inclusive em pesquisa;Avaliar apenas a qualidade dos laboratórios;Distribuir amostras grátis para pesquisadores animarem as festas;2;4
Metodologia;O que é um estudo de coorte?;3;Estudo onde se segue um grupo de pessoas ao longo do tempo;Estudo realizado apenas com equipes militares;Estudo de grupos de astronautas em treinamento para missões espaciais;-;1;3
Conceitos Básicos;O que é um biomarcador?;4;Uma característica mensurável que indica processo biológico;Um tatuador especializado em temas médicos;Um dispositivo para marcar amostras biológicas;Um atleta patrocinado por empresa farmacêutica;1;2
Farmacologia;O que significa a sigla AUC em farmacocinética?;3;Area Under the Curve (Área Sob a Curva);Autorização de Uso Compassivo;Associação dos Usuários de Café;-;1;3
Metodologia;O que é um estudo crossover?;4;Estudo onde participantes recebem diferentes tratamentos em períodos sequenciais;Estudo que cruza fronteiras internacionais;Estudo que combina diferentes especialidades médicas;Estudo realizado em cruzamentos de avenidas movimentadas;1;4
Ética em Pesquisa;O que é conflito de interesses em pesquisa clínica?;3;Quando interesses financeiros ou pessoais podem comprometer o julgamento profissional;Quando dois pesquisadores discordam sobre o protocolo;Quando o participante quer abandonar o estudo para ir a um show de rock;-;1;3
Regulamentação;O que é um DSMB em pesquisa clínica?;4;Data Safety Monitoring Board (Comitê de Monitoramento de Segurança de Dados);Departamento de Saúde Mental Brasileira;Dispositivo de Segurança para Medicamentos Biológicos;Dança de Salão para Médicos Brilhantes;1;4
Conceitos Básicos;O que é recrutamento em pesquisa clínica?;3;Processo de identificação e inclusão de participantes no estudo;Contratação de novos pesquisadores;Convocação militar para médicos em tempos de guerra;-;1;3
Metodologia;O que é um estudo observacional?;4;Estudo onde o pesquisador não intervém, apenas observa;Estudo realizado apenas com binóculos;Análise de comportamento de pássaros em ambiente hospitalar;Pesquisa onde os participantes são observados sem saber;1;3
Conceitos Básicos;O que significa a sigla CRO na pesquisa clínica?;3;Contract Research Organization (Organização de Pesquisa Contratada);Centro de Reabilitação Oncológica;Clube de Remo Olímpico;-;1;3
Ética em Pesquisa;O que é wash-out em estudos clínicos?;4;Período sem medicação para eliminar efeitos residuais;Procedimento de lavagem de equipamentos de laboratório;Teste para medir a eficácia de sabonetes antibacterianos;Quando todos os participantes tomam banho antes dos exames;1;4
Conceitos Básicos;Qual o objetivo principal da pesquisa clínica?;3;Melhorar a saúde pública;Descobrir novos conhecimentos sobre doenças e tratamentos;Arrecadar fundos para hospitais;-;2;-
Regulamentação;Quem regula as pesquisas clínicas no Brasil?;3;ANVISA e CONEP;OMS;Ministério da Educação;-;1;-
Ética em Pesquisa;O que é o Termo de Consentimento Livre e Esclarecido (TCLE)?;3;Documento obrigatório explicando o estudo ao participante;Protocolo clínico;Resultado da pesquisa;-;1;-
Regulamentação;Todo estudo clínico tem que ser aprovado por?;3;Comitê de Ética em Pesquisa (CEP);Diretoria do hospital;Conselho Regional de Medicina;-;1;-
Ética em Pesquisa;Participar de uma pesquisa clínica é?;3;Obrigatório;Opcional e voluntário;Indicado somente para médicos;-;2;-
Metodologia;O que é um protocolo clínico?;4;Um roteiro do estudo com objetivos e métodos;Documento para marketing;Documento financeiro;Manual secreto de fórmulas mágicas para cura instantânea;1;4
Metodologia;O que significa randomização?;4;Sorteio aleatório dos participantes para grupos de estudo;Análise estatística;Finalização do estudo;Técnica para invocar forças aleatórias do universo;1;4
Metodologia;O que é cegamento (ou mascaramento)?;4;Quando o participante e/ou pesquisador não sabem qual tratamento está sendo administrado;Falha na coleta de dados;Controle financeiro do estudo;Procedimento onde todos usam vendas nos olhos durante o experimento;1;4
Conceitos Básicos;O que é um evento adverso?;3;Qualquer ocorrência médica desfavorável durante o estudo;Erro no protocolo;Falha no recrutamento;-;1;-
Regulamentação;Quem é responsável pela condução do estudo no centro?;4;Investigador Principal;Comitê de Ética;Monitor;O zelador do prédio que tem as chaves de todas as salas;1;4